127.0.0.1 -- Wed Oct 31 2018 17:22:40 GMT+0800 (China Standard Time) -- POST -- /addUser?= -- 22ms
	127.0.0.1 -- Wed Oct 31 2018 17:23:15 GMT+0800 (China Standard Time) -- POST -- /addUser?= -- 5ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:35:25 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:45ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:36:04 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:35ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:38:57 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:46ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:38:59 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:9ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:48:00 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:43ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 16:08:08 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:48ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:08:31 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:37ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:08:59 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:27ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:10:06 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:33ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:14:38 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:38ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:15:53 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:55ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 16:21:15 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/one?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:5ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:21:21 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/one?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:22ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:21:35 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/all?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:26ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:23:06 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/all -- resTime:30ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:54:48 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:60ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:02:34 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:56ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:04:10 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:64ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:04:56 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:66ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:05:08 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:40ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:20:20 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:27ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:20:42 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:57ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:20:55 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:14ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:21:30 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:42ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:21:35 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:11ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:18 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:20ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:20 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:20 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:20 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:21 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:0ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:21 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:0ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:30:04 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/ -- resTime:0ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:30:13 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:24ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:31:06 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:37ms
